Incident_ID,Date,Incident_Starttime,Incident_Endtime,Incident_Duration,Incident_Priority,Service_Area,Municipality,Damage_Type,LON,LAT
1785,2018-09-24,15:27:12,20:46:49,05:19:37,2,Nico,Amsterdam,Building,4.90304628721578,52.3718008882739
1877,2018-09-25,14:54:31,17:21:32,02:27:01,2,Willem,Amsterdam,Building,4.89649235681485,52.3377193639313
2256,2018-09-30,12:44:01,13:22:29,00:38:28,2,Victor,Amsterdam,Building,4.91942746563148,52.3570819567053
2267,2018-09-30,15:34:08,16:15:37,00:41:29,2,Willem,Amsterdam,Building,4.88386143315827,52.3297390881171
2399,2018-10-02,12:46:53,13:38:45,00:51:52,2,Willem,Amsterdam,Building,4.90908039067983,52.3501020868374
2590,2018-10-04,19:27:55,01:03:25,05:35:30,2,Amstelveen,Amstelveen,Tree,4.88878903816715,52.2971970872745
2773,2018-10-07,01:33:54,02:24:32,00:50:38,2,Pieter,Amsterdam,Tree,4.81489042726732,52.3358968175481
4471,2018-10-29,17:55:22,21:50:13,03:54:51,2,Willem,Amsterdam,Tree,4.9110335615017,52.3541005149966
4529,2018-10-30,14:03:04,15:43:51,01:40:47,2,Pieter,Amsterdam,Unknown,4.85533084955171,52.358878501633
4565,2018-10-30,22:26:53,22:59:40,00:32:47,2,Osdorp,Amsterdam,Tree,4.79337462410803,52.3659718740619
5144,2018-11-07,11:58:36,12:31:26,00:32:50,2,Nico,Amsterdam,Unknown,4.89960205376944,52.3725417219903
5355,2018-11-10,12:02:03,13:43:02,01:40:59,2,Dirk,Amsterdam,Tree,4.89346997353751,52.3588100358421
6036,2018-11-20,07:14:41,10:21:52,03:07:11,2,Osdorp,Amsterdam,"Fence, Road signs, Scaffolding",4.80463218600167,52.3640235323799
6254,2018-11-23,03:45:27,06:21:48,02:36:21,2,Amstelveen,Amsterdam,Tree,4.85748447169988,52.3235751426425
6942,2018-12-02,12:26:53,15:31:47,03:04:54,5,Anton,Amsterdam,Unknown,4.94602672779031,52.2964807367245
7374,2018-12-07,16:20:10,17:32:49,01:12:39,2,Teunis,Amsterdam,Building,4.84884294336739,52.3733464109625
7374,2018-12-07,16:20:10,17:32:49,01:12:39,2,Teunis,Amsterdam,"Fence, Road signs, Scaffolding",4.84884294336739,52.3733464109625
7381,2018-12-07,17:34:53,18:30:47,00:55:54,2,Zebra,Amsterdam,"Fence, Road signs, Scaffolding",4.94430375343571,52.3914117034032
7381,2018-12-07,17:34:53,18:30:47,00:55:54,2,Zebra,Amsterdam,Tree,4.94430375343571,52.3914117034032
7417,2018-12-08,09:39:12,11:47:54,02:08:42,2,Hendrik,Amsterdam,Building,4.8851685471329,52.3711332467334
7418,2018-12-08,09:53:55,10:10:44,00:16:49,2,Hendrik,Amsterdam,Unknown,4.87968501561188,52.3781112977663
7424,2018-12-08,11:46:39,14:10:55,02:24:16,2,Pieter,Amsterdam,Building,4.86225982412308,52.3415001240834
7424,2018-12-08,11:46:39,14:10:55,02:24:16,2,Pieter,Amsterdam,"Fence, Road signs, Scaffolding",4.86225982412308,52.3415001240834
7431,2018-12-08,12:40:13,13:12:25,00:32:12,2,Dirk,Amsterdam,Building,4.88712210112501,52.3580553832438
7439,2018-12-08,16:08:28,16:52:13,00:43:45,2,Nico,Amsterdam,Building,4.89847513912551,52.3801945954607
7464,2018-12-08,19:48:06,20:08:30,00:20:24,5,Pieter,Amsterdam,Unknown,4.82761851347709,52.3574475156784
7475,2018-12-09,00:03:54,04:36:31,04:32:37,5,Hendrik,Amsterdam,Unknown,4.87830207607022,52.3680840580495
7477,2018-12-09,00:20:23,01:09:17,00:48:54,2,Victor,Amsterdam,Building,4.93091467155284,52.3748595221987
7500,2018-12-09,10:41:28,11:42:43,01:01:15,5,Willem,Amsterdam,"Fence, Road signs, Scaffolding",4.91890667876758,52.3396616617723
7545,2018-12-10,07:56:05,09:38:28,01:42:23,5,Hendrik,Amsterdam,Tree,4.85066742094034,52.369409075786
7688,2018-12-12,07:24:53,07:47:50,00:22:57,5,Hendrik,Amsterdam,Tree,4.86113394490476,52.3770686492781
7727,2018-12-12,17:19:33,20:33:48,03:14:15,5,Dirk,Amsterdam,Tree,4.89265212475076,52.3531623216652
7937,2018-12-15,17:08:15,20:58:09,03:49:54,2,Teunis,Amsterdam,Building,4.87881176340568,52.3953549322513
7985,2018-12-16,10:39:24,13:14:02,02:34:38,2,Hendrik,Amsterdam,Tree,4.88615451131169,52.3761435783685
8398,2018-12-21,13:15:35,13:51:50,00:36:15,2,Pieter,Amsterdam,Building,4.83525390426913,52.3478394753022
8398,2018-12-21,13:15:35,13:51:50,00:36:15,2,Pieter,Amsterdam,"Fence, Road signs, Scaffolding",4.83525390426913,52.3478394753022
8401,2018-12-21,13:48:23,15:05:55,01:17:32,2,Willem,Amsterdam,Tree,4.8997298702548,52.3475473772331
8418,2018-12-21,16:05:42,17:11:37,01:05:55,2,Zebra,Amsterdam,Building,4.92566107825472,52.4013168138683
8433,2018-12-21,17:56:58,18:49:01,00:52:03,2,Duivendrecht,Ouder-Amstel,Tree,4.93790806291612,52.3339382273785
8683,2018-12-25,13:15:44,14:08:27,00:52:43,2,Nico,Amsterdam,Building,4.89813415869214,52.3711605487877
10243,2019-01-07,19:08:50,21:08:49,01:59:59,2,Diemen,Diemen,Building,4.95809638844709,52.3323953608972
10260,2019-01-08,00:00:33,03:21:12,03:20:39,5,Dirk,Amsterdam,Tree,4.87488741141614,52.3370076462351
10263,2019-01-08,03:24:39,03:40:32,00:15:53,5,Amstelveen,Amstelveen,"Fence, Road signs, Scaffolding",4.85508200159407,52.2927000956704
10267,2019-01-08,07:11:36,08:02:02,00:50:26,2,Nico,Amsterdam,Building,4.90205060875838,52.3661705060928
10269,2019-01-08,08:11:04,09:02:55,00:51:51,2,Amstelveen,Amstelveen,Tree,4.90462423397331,52.3050282477341
10271,2019-01-08,09:39:07,12:04:39,02:25:32,2,Anton,Amsterdam,Building,4.93989047413588,52.3002595324341
10271,2019-01-08,09:39:07,12:04:39,02:25:32,2,Anton,Amsterdam,"Fence, Road signs, Scaffolding",4.93989047413588,52.3002595324341
10287,2019-01-08,11:07:41,12:30:02,01:22:21,5,Hendrik,Amsterdam,Unknown,4.86916896189141,52.3618249343701
10295,2019-01-08,12:06:17,12:55:34,00:49:17,5,Hendrik,Amsterdam,Unknown,4.8853657149896,52.3731742937537
10296,2019-01-08,12:16:44,12:55:46,00:39:02,5,Osdorp,Amsterdam,Unknown,4.76952799118378,52.3545521733349
10302,2019-01-08,13:18:56,13:48:58,00:30:02,2,Hendrik,Amsterdam,Building,4.8692457921303,52.3665618088455
10311,2019-01-08,14:39:24,16:29:55,01:50:31,2,Nico,Amsterdam,Building,4.90966398421761,52.3613391051292
10311,2019-01-08,14:39:24,16:29:55,01:50:31,2,Nico,Amsterdam,"Fence, Road signs, Scaffolding",4.90966398421761,52.3613391051292
10320,2019-01-08,15:47:21,16:30:00,00:42:39,2,Amstelveen,Amstelveen,Building,4.85772999118735,52.3029761211345
10322,2019-01-08,15:50:43,18:10:20,02:19:37,2,Dirk,Amsterdam,Building,4.90172031655508,52.3520763941335
10326,2019-01-08,16:17:23,18:10:25,01:53:02,2,Hendrik,Amsterdam,Building,4.88679344721305,52.3767844073567
10330,2019-01-08,17:12:38,18:10:29,00:57:51,2,Victor,Amsterdam,Building,4.94054387349041,52.3709057046159
10588,2019-01-12,10:33:19,12:24:32,01:51:13,2,Hendrik,Amsterdam,Building,4.88350125414372,52.3744246567096
10662,2019-01-13,15:12:06,15:12:42,00:00:36,5,Zebra,Amsterdam,"Fence, Road signs, Scaffolding",4.92991424808339,52.4049463362283
10678,2019-01-13,16:46:06,18:37:05,01:50:59,2,Willem,Amsterdam,"Fence, Road signs, Scaffolding",4.92143224274868,52.349288513938
10691,2019-01-13,19:45:25,22:41:26,02:56:01,2,Driemond,Amsterdam,Tree,5.01729831949048,52.3036906445746
11333,2005-04-07,12:09:51,13:38:19,01:28:28,3,IJsbrand,AMSTERDAM,Unknown,4.88709832278234,52.418767084385
11337,2005-04-07,12:53:52,13:57:46,01:03:54,2,Pieter,AMSTERDAM,Tree,4.82619778516006,52.3525514368643
24028,2005-11-25,07:25:02,07:41:25,00:16:23,3,Dirk,AMSTERDAM,Unknown,4.89468206044249,52.3593813121225
24071,2005-11-25,10:35:23,11:35:20,00:59:57,1,Amstelveen,OUDER-AMSTEL,Tree,4.91693612329584,52.2971146291358
26845,2006-01-03,10:52:51,11:37:13,00:44:22,2,Amstelveen,AMSTELVEEN,Unknown,4.87903043370406,52.3032043772972
27379,2006-01-12,04:33:10,05:42:23,01:09:13,2,Amstelveen,AMSTELVEEN,Unknown,4.84396250873684,52.3018081782717
29122,2006-02-16,00:10:13,01:04:36,00:54:23,2,Amstelveen,AMSTELVEEN,Unknown,4.86604981928714,52.3086484525441
30843,2006-03-26,07:42:58,14:32:53,06:49:55,1,Victor,AMSTERDAM,"Fence, Road signs, Scaffolding",4.93091954958837,52.3586816844999
30843,2006-03-26,07:42:58,14:32:53,06:49:55,1,Victor,AMSTERDAM,Tree,4.93091954958837,52.3586816844999
30913,2006-03-27,17:58:03,20:20:43,02:22:40,2,Nico,AMSTERDAM,Unknown,4.92512072357772,52.3756279705798
30914,2006-03-27,18:03:27,20:06:44,02:03:17,2,Hendrik,AMSTERDAM,Unknown,4.8572390025269,52.3699599625484
30923,2006-03-27,18:34:14,19:00:46,00:26:32,2,Anton,AMSTERDAM,"Fence, Road signs, Scaffolding",4.97615115624961,52.3139446831449
30924,2006-03-27,18:30:01,20:22:19,01:52:18,3,Nico,AMSTERDAM,Building,4.92641705562117,52.3681732383963
31144,2006-03-30,19:08:47,19:41:39,00:32:52,2,Nico,AMSTERDAM,Unknown,4.90421671575621,52.3614068839933
31785,2006-04-12,20:18:13,20:43:21,00:25:08,1,Hendrik,AMSTERDAM,Unknown,4.87786118177759,52.3719558706755
33170,2006-05-10,17:31:53,18:03:43,00:31:50,3,Dirk,AMSTERDAM,Tree,4.88519444934832,52.3571664256383
33595,2006-05-19,09:57:54,10:43:22,00:45:28,2,Dirk,AMSTERDAM,Tree,4.8712524457598,52.360665626624
33598,2006-05-19,10:12:28,11:23:35,01:11:07,3,Pieter,AMSTERDAM,Unknown,4.85696977479575,52.3507159772184
33673,2006-05-20,12:02:13,12:27:34,00:25:21,3,Hendrik,AMSTERDAM,Unknown,4.85848479783915,52.3713855942801
33755,2006-05-22,10:45:50,12:32:16,01:46:26,3,GBA,AMSTERDAM,Unknown,4.79081506452658,52.3936323286548
33815,2006-05-23,10:31:00,11:00:14,00:29:14,3,Teunis,AMSTERDAM,"Fence, Road signs, Scaffolding",4.88007958804541,52.3885566923661
36705,2006-07-18,19:24:05,19:57:39,00:33:34,2,IJsbrand,AMSTERDAM,Tree,4.88816671225783,52.4204882251277
36719,2006-07-18,22:30:20,23:23:30,00:53:10,2,Osdorp,AMSTERDAM,Tree,4.80102549769406,52.341419376036
36981,2006-07-22,17:34:20,22:34:24,05:00:04,3,Hendrik,AMSTERDAM,Tree,4.89054597494937,52.3800357779477
36986,2006-07-22,18:08:47,19:23:56,01:15:09,2,Anton,AMSTERDAM,Tree,4.96748110184135,52.2987428578798
36992,2006-07-22,20:49:31,21:52:34,01:03:03,2,Amstelveen,AMSTELVEEN,"Fence, Road signs, Scaffolding",4.8795103621335,52.3086800301555
36997,2006-07-22,22:19:59,22:40:03,00:20:04,3,Zebra,AMSTERDAM,Unknown,4.9467045288463,52.3922654946862
37353,2006-07-28,23:32:25,00:04:04,00:31:39,2,Victor,AMSTERDAM,Tree,4.94312704717489,52.3504863731536
37442,2006-07-30,16:18:46,16:41:54,00:23:08,3,Teunis,AMSTERDAM,Tree,4.84743968935163,52.3752274464567
37587,2006-08-02,10:57:59,11:18:09,00:20:10,2,Anton,AMSTERDAM,Tree,4.96873978233642,52.3160937399825
37888,2006-08-08,09:29:20,11:36:19,02:06:59,1,Aalsmeer,AALSMEER,Tree,4.75063768298852,52.2664514069744
38015,2006-08-11,11:13:49,12:30:48,01:16:59,3,Nico,AMSTERDAM,Unknown,4.89967471157724,52.375283270515
38017,2006-08-11,11:46:17,12:31:06,00:44:49,1,Hendrik,AMSTERDAM,Building,4.89459004874128,52.3769249512652
38213,2006-08-14,11:13:28,12:10:39,00:57:11,2,Zebra,AMSTERDAM,Tree,4.94744612703351,52.3885923031249
38687,2006-08-24,20:29:35,22:11:06,01:41:31,3,Zebra,AMSTERDAM,Unknown,4.95730287561377,52.3855637021529
39036,2006-09-01,06:23:02,06:45:23,00:22:21,2,Pieter,AMSTERDAM,Tree,4.82917808968779,52.3641687427283
39171,2006-09-03,16:13:39,16:51:30,00:37:51,3,Hendrik,AMSTERDAM,Unknown,4.8900565227178,52.3673610547297
39172,2006-09-03,16:30:41,16:51:41,00:21:00,3,Pieter,AMSTERDAM,Unknown,4.85827437024413,52.3508566308959
39614,2006-09-12,10:21:55,10:56:00,00:34:05,2,Duivendrecht,OUDER-AMSTEL,Tree,4.94824552041825,52.3315772953439
41132,2006-10-13,11:15:05,15:05:23,03:50:18,2,Teunis,AMSTERDAM,Building,4.87303672622042,52.3815159213332
41132,2006-10-13,11:15:05,15:05:23,03:50:18,2,Teunis,AMSTERDAM,"Fence, Road signs, Scaffolding",4.87303672622042,52.3815159213332
41147,2006-10-13,17:44:46,18:25:03,00:40:17,2,Nico,AMSTERDAM,Unknown,4.9028927442255,52.3737595795777
42089,2006-11-01,01:50:20,02:14:16,00:23:56,2,Victor,AMSTERDAM,Tree,4.93538881162461,52.3551486792453
42093,2006-11-01,03:30:55,04:00:31,00:29:36,3,Hendrik,AMSTERDAM,Tree,4.88875392317278,52.3722179326211
42124,2006-11-01,09:29:33,10:47:15,01:17:42,2,GBA,AMSTERDAM,Tree,4.83601888718729,52.3937794197167
42128,2006-11-01,09:42:13,09:58:31,00:16:18,3,Pieter,AMSTERDAM,Unknown,4.83224294838833,52.3515463397095
42136,2006-11-01,10:38:11,14:37:56,03:59:45,2,Victor,AMSTERDAM,Building,4.94367829911165,52.3584785171481
42143,2006-11-01,11:38:30,16:14:47,04:36:17,2,Willem,AMSTERDAM,Unknown,4.89526138572412,52.3375794365893
42153,2006-11-01,12:47:09,13:45:32,00:58:23,2,Zebra,AMSTERDAM,Unknown,4.98910520972731,52.3592241895035
42235,2006-11-02,18:07:12,19:07:45,01:00:33,2,Pieter,AMSTERDAM,Tree,4.8622152568805,52.3589182212069
42512,2006-11-08,08:26:51,10:13:37,01:46:46,2,Osdorp,AMSTERDAM,Tree,4.79958656908379,52.3414841423598
42670,2006-11-10,15:02:08,17:04:13,02:02:05,2,Uithoorn,UITHOORN,Tree,4.83661908752559,52.2483949918991
42718,2006-11-11,13:10:40,14:07:17,00:56:37,1,Hendrik,AMSTERDAM,Unknown,4.87447105483135,52.3641668534261
42741,2006-11-11,20:21:23,20:57:44,00:36:21,3,Nico,AMSTERDAM,"Fence, Road signs, Scaffolding",4.92570728005456,52.3785332793651
42747,2006-11-11,22:18:12,22:42:58,00:24:46,3,IJsbrand,AMSTERDAM,Unknown,4.90873510722046,52.3862133019175
42748,2006-11-11,22:45:12,23:18:23,00:33:11,3,Amstelveen,AMSTELVEEN,Tree,4.86380699506639,52.2924064842511
42793,2006-11-12,15:15:13,15:30:09,00:14:56,3,Osdorp,AMSTERDAM,Tree,4.8015041603364,52.3752068637116
42804,2006-11-12,18:01:03,21:33:25,03:32:22,2,Hendrik,AMSTERDAM,"Fence, Road signs, Scaffolding",4.89025666471622,52.3809513092311
43455,2006-11-25,16:47:09,17:35:24,00:48:15,3,Uithoorn,UITHOORN,Unknown,4.79924396540361,52.2598543627667
43457,2006-11-25,18:26:56,18:54:33,00:27:37,2,Pieter,AMSTERDAM,Unknown,4.82639810340553,52.3413446028752
43461,2006-11-25,18:46:43,19:50:11,01:03:28,3,Teunis,AMSTERDAM,Unknown,4.84552604434286,52.3780049041983
43858,2006-12-03,14:00:38,14:27:06,00:26:28,2,Diemen,DIEMEN,Unknown,4.96422571064544,52.3419713888831
43860,2006-12-03,14:13:18,15:06:30,00:53:12,2,Diemen,DIEMEN,Unknown,4.96864441361073,52.3464539942628
44037,2006-12-07,12:32:32,13:49:21,01:16:49,3,Nico,AMSTERDAM,Building,4.9029146264376,52.371755411316
44039,2006-12-07,12:43:47,13:50:57,01:07:10,3,Pieter,AMSTERDAM,Tree,4.85522661738627,52.3553278679466
44045,2006-12-07,14:40:22,15:38:59,00:58:37,3,Willem,AMSTERDAM,Tree,4.89557101388217,52.3440698894184
44051,2006-12-07,15:41:39,16:32:06,00:50:27,3,Nico,AMSTERDAM,Tree,4.90937215644135,52.3884358290155
44060,2006-12-07,19:50:41,20:21:12,00:30:31,2,Hendrik,AMSTERDAM,"Fence, Road signs, Scaffolding",4.87211557848417,52.3672484090909
45151,2006-12-29,11:05:28,12:36:23,01:30:55,3,Dirk,AMSTERDAM,Unknown,4.88806690411003,52.3510579177175
45261,2006-12-30,21:41:05,22:42:28,01:01:23,2,Hendrik,AMSTERDAM,Building,4.84885677171503,52.3697873294951
45301,2006-12-30,22:59:46,23:22:13,00:22:27,1,Uithoorn,UITHOORN,Unknown,4.78631214904343,52.2412830478131
45335,2006-12-31,09:35:06,10:32:57,00:57:51,2,Diemen,DIEMEN,"Fence, Road signs, Scaffolding",4.96101691207472,52.3414655527136
45351,2006-12-31,11:19:03,12:02:31,00:43:28,2,Victor,AMSTERDAM,Unknown,4.93203194778883,52.3718799106181
45354,2006-12-31,11:38:49,13:09:44,01:30:55,2,Willem,AMSTERDAM,Tree,4.91963956896293,52.341129563086
45356,2006-12-31,11:53:54,14:14:39,02:20:45,3,Aalsmeer,AALSMEER,Unknown,4.78283718836632,52.2556730823716
45372,2006-12-31,13:10:22,13:24:01,00:13:39,2,Nico,AMSTERDAM,Unknown,4.91167215013208,52.3712156937919
45672,2007-01-01,13:30:39,14:21:45,00:51:06,2,IJsbrand,AMSTERDAM,Tree,4.91483212463955,52.3943806004694
46024,2007-01-07,15:31:01,16:40:38,01:09:37,3,Dirk,AMSTERDAM,Tree,4.89332707622106,52.3479073067481
46094,2007-01-09,08:41:40,09:36:14,00:54:34,2,Willem,AMSTERDAM,Unknown,4.9027644238684,52.334410743324
46128,2007-01-09,15:32:35,16:49:36,01:17:01,3,Pieter,AMSTERDAM,Building,4.83778127183267,52.3653773910941
46129,2007-01-09,15:38:43,16:00:34,00:21:51,3,Hendrik,AMSTERDAM,Unknown,4.88304255661947,52.3850641436867
46130,2007-01-09,15:48:29,16:12:36,00:24:07,2,Nico,AMSTERDAM,Unknown,4.90455556210054,52.3639967293611
46134,2007-01-09,16:23:27,16:52:14,00:28:47,3,Diemen,DIEMEN,Tree,4.95486303586881,52.3314758294735
46175,2007-01-10,10:12:31,10:54:28,00:41:57,3,Teunis,AMSTERDAM,"Fence, Road signs, Scaffolding",4.87113059982243,52.3812379986462
46179,2007-01-10,11:43:54,13:01:37,01:17:43,2,Nico,AMSTERDAM,"Fence, Road signs, Scaffolding",4.92257609360648,52.3858280147697
46181,2007-01-10,12:28:01,13:10:59,00:42:58,2,Anton,AMSTERDAM,Unknown,4.97471305231843,52.2903467299126
46185,2007-01-10,13:52:03,16:27:07,02:35:04,2,Zebra,AMSTERDAM,Building,4.99074892186745,52.3576298977208
46200,2007-01-10,17:38:05,18:46:26,01:08:21,2,Willem,AMSTERDAM,Unknown,4.91734735027138,52.3497397313619
46229,2007-01-11,09:27:01,09:56:16,00:29:15,1,Duivendrecht,AMSTERDAM,Unknown,4.92780314118068,52.3364070138556
46259,2007-01-11,12:09:02,13:55:10,01:46:08,1,Nico,AMSTERDAM,Unknown,4.93833727797286,52.3771078477241
46349,2007-01-11,20:26:08,21:04:40,00:38:32,3,Hendrik,AMSTERDAM,"Fence, Road signs, Scaffolding",4.89055567934501,52.3726119753707
46383,2007-01-12,15:18:05,15:44:40,00:26:35,3,Victor,AMSTERDAM,"Fence, Road signs, Scaffolding",4.92732266525889,52.3629638920749
46388,2007-01-12,16:53:07,17:42:11,00:49:04,2,Willem,AMSTERDAM,Unknown,4.88842019756013,52.3326794234118
46390,2007-01-12,18:20:30,18:52:58,00:32:28,3,Victor,AMSTERDAM,Unknown,4.94840939232647,52.3714114610301
46431,2007-01-13,15:25:28,16:00:02,00:34:34,3,Hendrik,AMSTERDAM,Building,4.88298881619281,52.3704139546544
46464,2007-01-14,13:44:23,14:20:37,00:36:14,3,Teunis,AMSTERDAM,Tree,4.86205080807045,52.3790140662015
46468,2007-01-14,13:39:11,14:32:23,00:53:12,3,Hendrik,AMSTERDAM,Building,4.88308025986475,52.3714119807418
46734,2007-01-18,11:50:08,14:51:18,03:01:10,3,Nico,AMSTERDAM,Unknown,4.90726646933721,52.3916179373683
46808,2007-01-18,14:24:26,14:28:39,00:04:13,3,Hendrik,AMSTERDAM,Tree,4.88574511409193,52.3772832839773
46899,2007-01-18,17:27:07,19:41:41,02:14:34,3,Hendrik,AMSTERDAM,Building,4.88941678554884,52.3694165543306
46900,2007-01-18,17:27:38,19:20:59,01:53:21,3,Victor,AMSTERDAM,Building,4.91095878178374,52.3583334341699
46903,2007-01-18,17:32:31,18:59:16,01:26:45,3,Uithoorn,UITHOORN,Tree,4.82104706148298,52.2315947712414
46904,2007-01-18,17:33:26,19:41:57,02:08:31,3,Pieter,AMSTERDAM,Building,4.85029732869028,52.35752558994
46907,2007-01-18,17:39:33,19:55:49,02:16:16,3,Amstelveen,OUDER-AMSTEL,Building,4.90850391684329,52.2973953728977
46915,2007-01-18,17:47:30,19:06:43,01:19:13,3,Hendrik,AMSTERDAM,Tree,4.88499042457671,52.3803808429662
46917,2007-01-18,17:49:57,17:54:17,00:04:20,3,Osdorp,AMSTERDAM,Unknown,4.78839230603464,52.3630796718408
46919,2007-01-18,17:55:24,19:20:32,01:25:08,3,Dirk,AMSTERDAM,Unknown,4.89152332239583,52.3556651803188
46922,2007-01-18,18:15:11,19:52:44,01:37:33,3,Hendrik,AMSTERDAM,Unknown,4.88274295364366,52.3675008855114
46926,2007-01-18,18:16:04,18:59:58,00:43:54,3,Dirk,AMSTERDAM,Building,4.89468206044249,52.3593813121225
46979,2007-01-18,20:15:02,20:51:21,00:36:19,3,Willem,AMSTERDAM,Tree,4.90701465657231,52.3416182770687
47088,2007-01-19,07:55:45,07:55:56,00:00:11,1,Hendrik,AMSTERDAM,Unknown,4.8519893532409,52.36815677524
47091,2007-01-19,08:30:14,08:59:10,00:28:56,2,Hendrik,AMSTERDAM,Unknown,4.88346146787941,52.366290601907
47095,2007-01-19,08:46:45,09:21:46,00:35:01,2,Diemen,DIEMEN,Tree,4.95836716739574,52.3423367787541
47138,2007-01-19,11:05:36,11:21:52,00:16:16,2,Amstelveen,AMSTELVEEN,Building,4.86563283171057,52.3054469427872
47158,2007-01-19,12:40:27,14:54:00,02:13:33,3,IJsbrand,AMSTERDAM,Tree,4.90270262421217,52.4193891477941
47174,2007-01-19,13:43:25,16:24:26,02:41:01,3,Aalsmeer,AALSMEER,Tree,4.74997884652393,52.2295969677308
47245,2007-01-20,01:37:58,02:05:08,00:27:10,3,IJsbrand,AMSTERDAM,Unknown,4.90407686774209,52.3904275853257
